"location: ","New York, Kennedy International Airport"
"Weather station: ","744860","ICAO","KJFK","Latitude: ","40.65","Longitude: ","-73.8","Altitude: ","3"
"Day","T","TM","Tm","SLP","H","PP","VV","V","VM","VG","RA","SN","TS","FG"
"","Average Temperature","Maximum temperature","Minimum temperature","Atmospheric pressure at sea level","Average relative humidity","Total rainfall and / or snowmelt","Average visibility","Average wind speed","Maximum sustained wind speed","Maximum speed of wind","Indicate if there was rain or drizzle (In the monthly average, total days it rained)","Snow indicator (In the monthly average, total days that snowed)","Indicates whether there storm (In the monthly average, Total days with thunderstorm)","Indicates whether there was fog (In the monthly average, Total days with fog)"
"2018-12-12","2.3","5.6","-2.8","1018.1","60","0","16.1","21.5","29.4","35.2","","","",""
"2018-12-13","0.9","1.7","0","1025.6","68","0","16.1","12.4","22.2","-","","","",""
"2018-12-14","7.3","10.6","0","1031.2","90","0.25","16.1","13.1","20.6","-","o","","",""
"2018-12-15","9.6","11.1","5.6","1022.3","95","6.6","10.8","11.1","25.9","-","o","","",""
"2018-12-16","6.6","11.1","4.4","1015.9","88","7.62","10.8","28.3","44.6","55.4","","","",""
"2018-12-17","5.2","9.4","2.8","1007.4","78","21.84","14.8","27.8","46.5","68.3","","","",""
"2018-12-18","2.6","9.4","-0.6","1013.5","47","0","16.1","36.3","46.5","68.3","","","",""
"2018-12-19","-0.2","5","-4.4","1021.2","58","0","16.1","17","31.7","42.4","","","",""
"2018-12-20","3.6","8.3","-4.4","1020.1","84","3.56","15.4","8.3","16.5","-","o","","",""
"2018-12-21","11.8","13.3","8.3","1000.2","100","22.35","6","28.3","50","64.8","o","","","o"
"2018-12-22","8.9","13.9","6.1","997.1","81","29.21","14.2","33.3","46.5","64.8","","","",""
"2018-12-23","4.6","10.6","2.2","1017.9","56","0","16.1","22.6","44.6","61.1","","","",""
"2018-12-24","4.1","6.7","1.7","1018.3","77","2.03","13.4","12","31.7","42.4","","","",""
"2018-12-25","3.1","6.7","0","1023.2","58","0","16.1","21.7","31.7","44.6","","","",""
"2018-12-26","2.7","6.7","0","1030.4","55","0","16.1","18","27.8","-","","","",""
"2018-12-27","4.4","6.7","0","1034.7","64","0","16.1","14.6","22.2","-","","","",""
"2018-12-28","8","12.2","2.8","1024.7","91","2.29","9.2","22.6","44.6","61.1","","","",""
"2018-12-29","10.1","12.8","6.1","1014.6","77","22.61","11.3","22.4","40.7","53.5","","","",""
"2018-12-30","3","12.2","0.6","1023.1","66","0","16.1","13.3","29.4","-","","","",""
"2018-12-31","2.7","7.2","-1.1","1026.3","90","5.59","15.6","9.6","22.2","-","o","","",""
